,tag,form,0
629,ORG,"['?', '', 'sg g', '', 'sg es']",1
26,LOC,"['?', '', 'sg g', 'pl p']",1
630,ORG,"['?', '', 'sg g', 'sg g', '?']",1
631,ORG,"['?', '', 'sg g', 'sg in']",1
632,ORG,"['?', '', 'sg g', 'sg n']",1
633,ORG,"['?', '', 'sg g']",26
2856,PER,"['?', '', 'sg g']",5
27,LOC,"['?', '', 'sg g']",73
28,LOC,"['?', '', 'sg ill']",6
29,LOC,"['?', '', 'sg in']",25
634,ORG,"['?', '', 'sg in']",1
2857,PER,"['?', '', 'sg kom']",2
635,ORG,"['?', '', 'sg kom']",3
636,ORG,"['?', '', 'sg n', '', '?', '', '?', '', 'sg n', 'sg n', 'sg n']",2
637,ORG,"['?', '', 'sg n', '', '?', '', 'sg n', 'sg n', 'sg n']",9
638,ORG,"['?', '', 'sg n', '', '?', 'sg n', '', '?', '', '?']",1
639,ORG,"['?', '', 'sg n', '', '?']",6
640,ORG,"['?', '', 'sg n', '', 'sg n', '', '?', '', 'sg n', 'sg n', 'sg n']",3
641,ORG,"['?', '', 'sg n', '', 'sg n', '', 'sg n', 'sg n', 'sg n', '', '?', '', '?']",1
642,ORG,"['?', '', 'sg n', '', 'sg n', '']",1
643,ORG,"['?', '', 'sg n', '', 'sg n', 'sg n', 'sg n']",1
644,ORG,"['?', '', 'sg n', '', 'sg n']",2
645,ORG,"['?', '', 'sg n', '']",1
646,ORG,"['?', '', 'sg n', '?', 'sg n']",1
647,ORG,"['?', '', 'sg n', '?']",3
648,ORG,"['?', '', 'sg n', 'sg g', '?']",1
649,ORG,"['?', '', 'sg n', 'sg g', 'sg g']",1
650,ORG,"['?', '', 'sg n', 'sg g']",1
651,ORG,"['?', '', 'sg n', 'sg n', '']",1
652,ORG,"['?', '', 'sg n', 'sg n', '?']",1
653,ORG,"['?', '', 'sg n', 'sg n', 'sg n', '', '?', '', '?']",1
654,ORG,"['?', '', 'sg n', 'sg n', 'sg n', '', '?', '', 'sg n']",20
655,ORG,"['?', '', 'sg n', 'sg n', 'sg n', '', '?']",24
656,ORG,"['?', '', 'sg n', 'sg n', 'sg n', '', 'sg n']",4
657,ORG,"['?', '', 'sg n', 'sg n', 'sg n']",150
658,ORG,"['?', '', 'sg n', 'sg n']",6
2858,PER,"['?', '', 'sg n', 'sg n']",2
659,ORG,"['?', '', 'sg n']",216
2859,PER,"['?', '', 'sg n']",47
30,LOC,"['?', '', 'sg n']",7
660,ORG,"['?', '', 'sg p']",1
661,ORG,"['?', '']",143
31,LOC,"['?', '']",48
2860,PER,"['?', '']",4
662,ORG,"['?', '?', '', '?', 'sg n']",1
663,ORG,"['?', '?', '', '?']",6
664,ORG,"['?', '?', '', 'sg n']",1
665,ORG,"['?', '?', '']",3
2861,PER,"['?', '?', '']",1
666,ORG,"['?', '?', '?', 'sg n']",1
667,ORG,"['?', '?', '?']",5
2862,PER,"['?', '?', 'adt']",2
668,ORG,"['?', '?', 'adt']",3
669,ORG,"['?', '?', 'pl g', 'adt']",1
670,ORG,"['?', '?', 'pl n', '']",1
671,ORG,"['?', '?', 'pl n', 'sg n']",1
672,ORG,"['?', '?', 'pl n']",3
673,ORG,"['?', '?', 'sg all']",1
674,ORG,"['?', '?', 'sg el']",2
32,LOC,"['?', '?', 'sg el']",3
675,ORG,"['?', '?', 'sg g', '', 'sg g', 'sg g', 'sg g']",1
676,ORG,"['?', '?', 'sg g', 'sg g']",1
677,ORG,"['?', '?', 'sg g', 'sg in']",2
33,LOC,"['?', '?', 'sg g', 'sg in']",1
2863,PER,"['?', '?', 'sg g']",13
678,ORG,"['?', '?', 'sg g']",30
34,LOC,"['?', '?', 'sg g']",14
35,LOC,"['?', '?', 'sg ill']",2
2864,PER,"['?', '?', 'sg ill']",1
679,ORG,"['?', '?', 'sg in', 'sg g']",1
680,ORG,"['?', '?', 'sg in']",3
36,LOC,"['?', '?', 'sg in']",12
2865,PER,"['?', '?', 'sg in']",3
2866,PER,"['?', '?', 'sg kom']",1
681,ORG,"['?', '?', 'sg n', '', 'sg n']",3
682,ORG,"['?', '?', 'sg n', 'sg g']",2
683,ORG,"['?', '?', 'sg n', 'sg n', '?']",1
684,ORG,"['?', '?', 'sg n', 'sg n', 'sg n']",1
685,ORG,"['?', '?', 'sg n', 'sg n']",7
686,ORG,"['?', '?', 'sg n', 'sg p']",1
687,ORG,"['?', '?', 'sg n']",58
2867,PER,"['?', '?', 'sg n']",8
37,LOC,"['?', '?']",89
688,ORG,"['?', '?']",763
2868,PER,"['?', '?']",38
689,ORG,"['?', 'adt', '?', '']",1
690,ORG,"['?', 'adt', 'sg g', '']",1
691,ORG,"['?', 'adt', 'sg g', 'sg g']",1
692,ORG,"['?', 'adt', 'sg g']",2
693,ORG,"['?', 'adt', 'sg n']",1
694,ORG,"['?', 'adt', 'sg p']",1
38,LOC,"['?', 'adt']",28
2869,PER,"['?', 'adt']",15
695,ORG,"['?', 'adt']",136
696,ORG,"['?', 'b']",1
697,ORG,"['?', 'n', 'sg ad']",1
698,ORG,"['?', 'n']",1
2870,PER,"['?', 'n']",2
699,ORG,"['?', 'neg ge']",1
700,ORG,"['?', 'nud', 'pl g']",1
701,ORG,"['?', 'nud', 'pl n']",2
702,ORG,"['?', 'o', 'sg g']",1
2871,PER,"['?', 'o']",7
703,ORG,"['?', 'pl ad', 'sg g']",1
704,ORG,"['?', 'pl ad']",4
39,LOC,"['?', 'pl all']",1
705,ORG,"['?', 'pl all']",1
706,ORG,"['?', 'pl g', '?', '', '?']",1
707,ORG,"['?', 'pl g', '?', '']",5
708,ORG,"['?', 'pl g', '?', 'sg g', 'sg g']",1
709,ORG,"['?', 'pl g', '?']",29
710,ORG,"['?', 'pl g', 'adt']",3
711,ORG,"['?', 'pl g', 'pl all']",1
712,ORG,"['?', 'pl g', 'pl g', 'sg n']",1
713,ORG,"['?', 'pl g', 'pl g']",8
714,ORG,"['?', 'pl g', 'pl n']",5
715,ORG,"['?', 'pl g', 'sg all']",3
716,ORG,"['?', 'pl g', 'sg el']",3
717,ORG,"['?', 'pl g', 'sg g', '?']",1
718,ORG,"['?', 'pl g', 'sg g', 'sg g']",1
719,ORG,"['?', 'pl g', 'sg g']",32
720,ORG,"['?', 'pl g', 'sg kom']",1
721,ORG,"['?', 'pl g', 'sg n']",8
722,ORG,"['?', 'pl g', 'sg p']",1
723,ORG,"['?', 'pl g']",53
40,LOC,"['?', 'pl g']",1
2872,PER,"['?', 'pl g']",2
724,ORG,"['?', 'pl in']",4
725,ORG,"['?', 'pl kom']",1
726,ORG,"['?', 'pl n', '']",2
727,ORG,"['?', 'pl n', '?', '?', 'sg n', 'sg n', '', 'sg n', 'sg n']",1
728,ORG,"['?', 'pl n', '?', '?', 'sg n', 'sg n', 'sg kom']",1
729,ORG,"['?', 'pl n', '?', '?', 'sg n']",15
730,ORG,"['?', 'pl n', '?', 'pl n']",1
731,ORG,"['?', 'pl n', '?', 'sg n', '']",1
732,ORG,"['?', 'pl n', 'sg g']",1
733,ORG,"['?', 'pl n', 'sg n', '']",1
734,ORG,"['?', 'pl n', 'sg n', 'sg n', 'sg n', 'sg n', '']",1
735,ORG,"['?', 'pl n', 'sg n', 'sg n']",2
736,ORG,"['?', 'pl n', 'sg n']",4
737,ORG,"['?', 'pl n']",70
41,LOC,"['?', 'pl n']",3
2873,PER,"['?', 'pl n']",11
738,ORG,"['?', 'pl p', '']",1
739,ORG,"['?', 'pl p', '?', 'sg n']",2
740,ORG,"['?', 'pl p', 'sg g', 'sg g']",1
741,ORG,"['?', 'pl p', 'sg n']",1
2874,PER,"['?', 'pl p', 'sg n']",1
742,ORG,"['?', 'pl p']",12
2875,PER,"['?', 'pl p']",1
743,ORG,"['?', 'pl ter']",1
744,ORG,"['?', 's', 'sg g', 'sg n', 'sg n']",1
745,ORG,"['?', 'sg ab']",1
746,ORG,"['?', 'sg abl', 'sg n']",1
2876,PER,"['?', 'sg abl']",4
42,LOC,"['?', 'sg abl']",2
747,ORG,"['?', 'sg abl']",38
748,ORG,"['?', 'sg ad', 'sg ad']",1
749,ORG,"['?', 'sg ad', 'sg g']",1
750,ORG,"['?', 'sg ad', 'sg in']",1
751,ORG,"['?', 'sg ad', 'sg kom']",1
752,ORG,"['?', 'sg ad', 'sg n']",1
43,LOC,"['?', 'sg ad']",16
753,ORG,"['?', 'sg ad']",87
2877,PER,"['?', 'sg ad']",9
754,ORG,"['?', 'sg all', '', 'sg all']",1
44,LOC,"['?', 'sg all']",11
2878,PER,"['?', 'sg all']",8
755,ORG,"['?', 'sg all']",141
756,ORG,"['?', 'sg el', '']",3
757,ORG,"['?', 'sg el', '?', 'adt']",2
758,ORG,"['?', 'sg el', 'adt', 'sg g']",1
759,ORG,"['?', 'sg el', 'adt']",1
760,ORG,"['?', 'sg el', 'sg g']",4
761,ORG,"['?', 'sg el', 'sg ill']",1
762,ORG,"['?', 'sg el', 'sg n', 'sg n']",1
45,LOC,"['?', 'sg el', 'sg ter']",1
46,LOC,"['?', 'sg el']",35
763,ORG,"['?', 'sg el']",191
2879,PER,"['?', 'sg el']",13
764,ORG,"['?', 'sg es']",3
765,ORG,"['?', 'sg g', '', '?']",2
766,ORG,"['?', 'sg g', '', 'sg g']",1
767,ORG,"['?', 'sg g', '']",1
768,ORG,"['?', 'sg g', '?', '', '?', 'sg g']",1
769,ORG,"['?', 'sg g', '?', '']",9
770,ORG,"['?', 'sg g', '?', '?', 'sg n']",2
771,ORG,"['?', 'sg g', '?', '?']",1
772,ORG,"['?', 'sg g', '?', 'sg g', '?']",1
773,ORG,"['?', 'sg g', '?', 'sg g']",3
774,ORG,"['?', 'sg g', '?', 'sg kom']",1
775,ORG,"['?', 'sg g', '?', 'sg n']",1
776,ORG,"['?', 'sg g', '?']",72
777,ORG,"['?', 'sg g', 'adt']",8
778,ORG,"['?', 'sg g', 'pl all']",1
779,ORG,"['?', 'sg g', 'pl el']",1
780,ORG,"['?', 'sg g', 'pl g', 'adt']",1
781,ORG,"['?', 'sg g', 'pl g', 'sg g']",3
