,lemma,tag,0
694,Ani,PER,22
695,Anil,ORG,2
696,Anil,PER,12
697,Animal Planet,ORG,3
698,Animal Planet,PER,7
699,Anja Kauranen,ORG,1
700,Anja Kauranen,PER,3
701,Anna,LOC,4
702,Anna,ORG,1
703,Anna,PER,114
704,Anna Murdoch,ORG,1
705,Anna Murdoch,PER,3
706,Anna kirik,ORG,1
707,Anna kirik,PER,1
708,Annabel,LOC,1
709,Annabel,PER,1
710,Annabel Chong,ORG,3
711,Annabel Chong,PER,15
712,Annan,LOC,1
713,Annan,PER,11
714,Anne,LOC,11
715,Anne,ORG,13
716,Anne,PER,228
717,Anne Maria,ORG,1
718,Anne Maria,PER,10
719,Anne-Daniela Saaliste,ORG,1
720,Anne-Daniela Saaliste,PER,5
721,Anne-Loore,LOC,3
722,Anne-Loore,PER,2
723,Anne-Mai,LOC,1
724,Anne-Mai,PER,19
725,Anne-Pii,LOC,1
726,Anne-Pii,PER,1
727,Anneli,LOC,1
728,Anneli,ORG,1
729,Anneli,PER,120
730,Anneli Remme,ORG,1
731,Anneli Remme,PER,33
732,Anneli randla,ORG,2
733,Anneli randla,PER,2
734,Annika,LOC,2
735,Annika,ORG,3
736,Annika,PER,29
737,Annika Laas,ORG,2
738,Annika Laas,PER,4
739,Annika Tõnuri,ORG,1
740,Annika Tõnuri,PER,3
741,Antarktika,LOC,33
742,Antarktika,PER,1
743,Antarktis,LOC,1
744,Antarktis,PER,2
745,Anthology,ORG,2
746,Anthology,PER,1
747,Anthonis van Dycki,ORG,1
748,Anthonis van Dycki,PER,1
749,Anti Järvelaid,ORG,1
750,Anti Järvelaid,PER,4
751,Anti Kidron jt,ORG,1
752,Anti Kidron jt,PER,1
753,Anti Toplaan,ORG,1
754,Anti Toplaan,PER,1
755,Antigone,ORG,1
756,Antigone,PER,2
757,Antionline,ORG,1
758,Antionline,PER,1
759,Anton,ORG,1
760,Anton,PER,94
761,Antonia,ORG,1
762,Antonia,PER,7
763,Ants,ORG,1
764,Ants,PER,212
765,Antsla,LOC,28
766,Antsla,PER,2
767,Antsu-Peeter,LOC,1
768,Antsu-Peeter,PER,1
769,Antti Tuur,ORG,1
770,Antti Tuur,PER,2
771,Anttila,LOC,14
772,Anttila,ORG,17
