,lemma,tag,0
6607,Baltija,LOC,7
6608,Baltija,ORG,2
6609,Baltija,PER,1
6616,Baltika,LOC,31
6617,Baltika,ORG,50
6618,Baltika,PER,5
6641,Baltman,LOC,10
6642,Baltman,ORG,1
6643,Baltman,PER,8
6654,Bambuk,LOC,1
6655,Bambuk,ORG,1
6657,Bamut,LOC,5
6658,Bamut,ORG,1
6659,Bamut,PER,4
6670,Bandar,LOC,1
6671,Bandar,PER,3
6672,Bandidos,LOC,1
6673,Bandidos,ORG,1
6674,Bandidos,PER,1
6676,Bangalore,LOC,2
6677,Bangalore,PER,1
6682,Bangladesh,LOC,19
6683,Bangladesh,ORG,1
6696,Bank,ORG,1
6697,Bank,PER,5
6700,Bankend,LOC,5
6701,Bankend,PER,5
6723,Baranoff,LOC,2
6724,Baranoff,PER,2
6752,Barcelona,LOC,184
6753,Barcelona,ORG,8
6754,Barcelona,PER,1
6763,Barclay,ORG,2
6764,Barclay,PER,2
6810,Barvihha,LOC,9
6811,Barvihha,ORG,1
6812,Barvihha,PER,4
6815,Barzan,LOC,4
6816,Barzan,ORG,1
6817,Barzan,PER,11
6818,Barzani,ORG,1
6819,Barzani,PER,8
6823,Basil Zavoico,ORG,3
6824,Basil Zavoico,PER,3
6828,Basis Pank,ORG,2
6829,Basis Pank,PER,1
6838,Bastia,LOC,1
6839,Bastia,ORG,6
6840,Bastia,PER,1
6869,Bayern,LOC,17
6870,Bayern,ORG,3
6871,Bayern,PER,2
6882,Bayreuthi Steiner,ORG,2
6883,Bayreuthi Steiner,PER,8
6903,Beatrix,LOC,1
6904,Beatrix,PER,1
6911,Becker,ORG,1
6912,Becker,PER,18
6927,Beethoven,LOC,1
6928,Beethoven,ORG,22
6929,Beethoven,PER,18
6987,Bella,LOC,4
6988,Bella,PER,8
6998,Belokon,LOC,2
6999,Belokon,PER,1
7003,Belovezhje,LOC,6
7004,Belovezhje,ORG,3
7040,Benedikt,ORG,1
7041,Benedikt,PER,3
7043,Benelux,LOC,4
7044,Benelux,PER,3
7046,Benetton,ORG,4
7047,Benetton,PER,1
7051,Benfica,LOC,1
7052,Benfica,ORG,2
7053,Benfica,PER,2
7085,Bent Lillepool,ORG,1
7086,Bent Lillepool,PER,5
7098,Berendsen,ORG,1
7099,Berendsen,PER,40
7106,Bergen,LOC,5
7107,Bergen,PER,5
7151,Berluscon,LOC,1
7152,Berluscon,PER,2
7207,Besiktas,ORG,1
7208,Besiktas,PER,3
7218,Betsuyaku,LOC,1
7219,Betsuyaku,PER,2
7307,Billund,LOC,4
7308,Billund,PER,1
7354,Birkavs,LOC,1
7355,Birkavs,PER,5
7419,Blatter,LOC,1
7420,Blatter,ORG,2
7421,Blatter,PER,1
7448,Blumenau,LOC,1
7449,Blumenau,PER,5
7485,Boban,ORG,1
7486,Boban,PER,7
7499,Boca,ORG,1
7500,Boca,PER,1
7502,Bochum,LOC,4
7503,Bochum,ORG,1
7513,Boeing,LOC,3
7514,Boeing,ORG,53
7515,Boeing,PER,2
7535,Bokshic,LOC,1
7536,Bokshic,PER,2
7540,Bolero,LOC,1
7541,Bolero,PER,1
7547,Bologna,LOC,13
7548,Bologna,ORG,1
7563,Bomber,ORG,4
